,comment,date
12622,"3% recovery in last 5 minutes, will fall again!
","Feb 05, 2018 3:17PM ET"
12623,"VIX is now over 28.. nice profits!!!
","Feb 05, 2018 3:16PM ET"
12624,"21K
","Feb 05, 2018 3:14PM ET"
12625,"I have never seen this .....
","Feb 05, 2018 3:14PM ET"
12626,"A little rebound , before next freefall ...
","Feb 05, 2018 3:14PM ET"
12627,"Hot potato
","Feb 05, 2018 3:13PM ET"
12628,"here we go back to 25k!
","Feb 05, 2018 3:13PM ET"
12629,"Good lord
","Feb 05, 2018 3:12PM ET"
12630,"What a thriller)
","Feb 05, 2018 3:12PM ET"
12631,"23k sooner than expected
","Feb 05, 2018 3:12PM ET"
12632,"Free fall. Only 5 days and real trouble  for central banks is on the table
","Feb 05, 2018 3:11PM ET"
12633,"Is this the monday most of us were anticipating for many months or even years??
","Feb 05, 2018 3:11PM ET"
12634,"My God:(
","Feb 05, 2018 3:10PM ET"
12635,"FreeFall
","Feb 05, 2018 3:09PM ET"
12636,"-1000
","Feb 05, 2018 3:08PM ET"
12637,"-1250 next target
","Feb 05, 2018 3:08PM ET"
12638,"HOLY COW!
","Feb 05, 2018 3:08PM ET"
12639,"Wiped out my account
","Feb 05, 2018 3:07PM ET"
12640,"Buy gold only
","Feb 05, 2018 3:06PM ET"
12641,"WOW
","Feb 05, 2018 3:06PM ET"
12642,"Below 22000 that means losing money
","Feb 05, 2018 3:06PM ET"
12643,"-1000 today
","Feb 05, 2018 3:06PM ET"
12644,"breakdown
","Feb 05, 2018 3:05PM ET"
12645,"And some.of you still say it's not a crash, wake up people
","Feb 05, 2018 3:05PM ET"
12646,"Big boyz know something and they are always the first out the door.  Panic will set in tomorrow.
","Feb 05, 2018 3:03PM ET"
12647,"-1000 day?
","Feb 05, 2018 3:01PM ET"
12648,"Now it will go up
","Feb 05, 2018 3:01PM ET"
12649,"Just calm selling. Walk in the park
","Feb 05, 2018 3:01PM ET"
12650,"Trumps Wally  world is crumbling
","Feb 05, 2018 3:01PM ET"
12651,"Kust catched 720 pips . Got profit of £72000.
","Feb 05, 2018 2:59PM ET"
12652,"Blood number: 23??
","Feb 05, 2018 2:56PM ET"
12653,"There is NO panic selling so these levels are for real!
","Feb 05, 2018 2:55PM ET"
12654,"They'll keep it at 24900
","Feb 05, 2018 2:55PM ET"
12655,"Why it is going ..bond yield or inflation?? I really don't think it is that bad ..
","Feb 05, 2018 2:55PM ET"
12656,"We knew it
","Feb 05, 2018 2:53PM ET"
12657,"No news .. unnecessary it is going down
","Feb 05, 2018 2:52PM ET"
12658,"Wats going on???
","Feb 05, 2018 2:51PM ET"
12659,"Another negative mark of the beast coming today...
","Feb 05, 2018 2:50PM ET"
12660,"TSX it's is much more stable :)... down but not near as far
","Feb 05, 2018 2:44PM ET"
12661,"It will keep trading back to 25k.  They know if they can't keep it above that today, tomorrow will be even worse.
","Feb 05, 2018 2:41PM ET"
12662,"Tomorrow could be the 10% sell off or more.
","Feb 05, 2018 2:39PM ET"
12663,"As Dow left the other indices and went to the moon alone. From now on Dow and Nikki will fall more. Others will relatively stabilize
","Feb 05, 2018 2:38PM ET"
12664,"Forced selling with margin calls are now in effect
","Feb 05, 2018 2:37PM ET"
12665,"Target 23 K next level
","Feb 05, 2018 2:35PM ET"
12666,"Panic takes the control... welcome on board
","Feb 05, 2018 2:35PM ET"
12667,"Man kr should be targeting 25K now...
","Feb 05, 2018 2:34PM ET"
12668,"25k bleached, now starts fun. Good night every one, was wating to see this
","Feb 05, 2018 2:33PM ET"
12669,"24k I said. Remember my name I said.
","Feb 05, 2018 2:32PM ET"
12670,"Dog didn't say 25k would go did he ?
","Feb 05, 2018 2:31PM ET"
12671,"Computers saving 25k again
","Feb 05, 2018 2:29PM ET"
12672,"Target -500... and am told not panic selling but calm
","Feb 05, 2018 2:28PM ET"
12673,"Break below 25k will bring blood in the streets
","Feb 05, 2018 2:27PM ET"
12674,"Finally reality is setting in to all investors... problem is it's contagious and can spread like a virus
","Feb 05, 2018 2:21PM ET"
12675,"Where is Shrimp and his Mr. trump??? Drama Bull LOL
","Feb 05, 2018 2:19PM ET"
12676,"This is insane moment one minute 200 point up next minute 300 down. This is gone crazy
","Feb 05, 2018 2:09PM ET"
12677,"In my opinion, all this is very good buy opportunity, when they start buying it again you will never have time to act
","Feb 05, 2018 2:05PM ET"
12678,"50 ema 25132 reached on daily chart...if close below it.. then big problem and will see more down till 24900....but if ut reverses from here as appearing then it will jump up sharp from here...as bull market correction r shrp and reverses also sharp..so sh...Show more
","Feb 05, 2018 2:03PM ET"
12679,"Before it was buy the dip, now it's sell the high hilarious
","Feb 05, 2018 2:02PM ET"
12680,"Its a big sell off, just keep the cash and wait~
","Feb 05, 2018 1:56PM ET"
12681,"If it does not sustane 25k, brace yourself for 24.5k
","Feb 05, 2018 1:55PM ET"
12682,"Good day to buy dip, just close your eyes to buy it and then money into your pocket, make money just that easy.
","Feb 05, 2018 1:53PM ET"
12683,"What happened to buy the dips and dow 30k ?
","Feb 05, 2018 1:52PM ET"
12684,"Haaaa
","Feb 05, 2018 1:50PM ET"
12685,"From. Now recovery start in dow 30
","Feb 05, 2018 1:48PM ET"
12686,"Told yah last week , the peak of Mount Everest has formed and it's a long steep hill downward
","Feb 05, 2018 1:47PM ET"
12687,"But will blood spill will be last
","Feb 05, 2018 1:47PM ET"
12688,"Where are those wants dip.... Its available now
","Feb 05, 2018 1:47PM ET"
12689,"Looks very ugly
","Feb 05, 2018 1:43PM ET"
12690,"This is the real world
","Feb 05, 2018 1:41PM ET"
12691,"Red melt down started
","Feb 05, 2018 1:41PM ET"
12692,,"Feb 05, 2018 1:40PM ET"
12693,"Confusius say .... Karma will always get back at the bully
","Feb 05, 2018 1:40PM ET"
12694,"So the Trumps are taking credit for the correction i hear
","Feb 05, 2018 1:37PM ET"
12695,"Any guess what would be DOW at closing bell
","Feb 05, 2018 1:35PM ET"
12696,"Look at Nikkie 225 . woooow
","Feb 05, 2018 1:28PM ET"
12697,"Geeeee I wonder why Mr T isn't commenting on this market... lol
","Feb 05, 2018 1:25PM ET"
12698,"It seems like -1.5 % and above is becoming a normal thing now.
","Feb 05, 2018 1:24PM ET"
12699,"watch out everyone, it will explode 150-300 points to the upside before closing, then you can sell again :-)
","Feb 05, 2018 1:20PM ET"
12700,"-400 on target... now possible -500 plus at the end of the day
","Feb 05, 2018 1:17PM ET"
12701,"Downfall started from INDIAN Market after Budget at last Thursday
","Feb 05, 2018 1:14PM ET"
12702,"665 + 400 today.....wow
","Feb 05, 2018 1:14PM ET"
12703,"The race to the poor house is on.
","Feb 05, 2018 1:12PM ET"
12704,"Dow is in 5th wave so swing trading is advisable. 5th wave always high volatile.
","Feb 05, 2018 1:12PM ET"
12705,"Correction over. Back to 26000 and beyond.
","Feb 05, 2018 12:55PM ET"
12706,"25265 wins for now.
","Feb 05, 2018 12:51PM ET"
12707,"Computers keep rescuing that 25265
","Feb 05, 2018 12:48PM ET"
12708,"Holding on to that 25265 for life.  If she breaks substantially, Lookout below.
","Feb 05, 2018 12:45PM ET"
12709,"FED's to rethink their strategy... expect higher and more interest rates to come this year .. inflation raises its ugly head
","Feb 05, 2018 12:44PM ET"
12710,"Where is Phil Sago when we need him. Give us your wisdom Phil, all I have is the DOG!
","Feb 05, 2018 12:43PM ET"
12711,"VIX should go to 25 then reverse!
","Feb 05, 2018 12:35PM ET"
12712,"Buy the VIX index ;)
","Feb 05, 2018 12:30PM ET"
12713,"Nope.. no more dip... here we go down again
","Feb 05, 2018 12:23PM ET"
12714,"Gee should I buy the dip?
","Feb 05, 2018 12:22PM ET"
12715,"Algorithms on the work.... waiting for new low
","Feb 05, 2018 12:21PM ET"
12716,"Keep selling dow30 cmp
","Feb 05, 2018 12:18PM ET"
12717,"Fly to quality....
","Feb 05, 2018 12:18PM ET"
12718,"Dont short at lower level. High chance to pulback near 25800/25900 time line weekly
","Feb 05, 2018 12:08PM ET"
12719,"WFC get dump real bad. It goes back to where it was.
","Feb 05, 2018 11:58AM ET"
12720,"Fly to quality in progress.. that's why 10y bond rising. Very bad signal for stocks
","Feb 05, 2018 11:51AM ET"
12721,"PPT shining today,, Powell doesnt want to get powelled,,,
","Feb 05, 2018 11:03AM ET"
12722,"Today Dow Job Close small accounts
","Feb 05, 2018 10:57AM ET"
12723,"Dow futures just gained a bit
","Feb 05, 2018 10:49AM ET"
12724,"Resistance around 25463-25490
","Feb 05, 2018 10:35AM ET"
12725,"Who bought the bottom? No reason for Fridays Collapse other than sheep selling. Dow will rally from here! Already up 300p from intra bottom today
","Feb 05, 2018 10:32AM ET"
12726,"to recover loss start from 2k$ step by step loss of more then 50k$ and loan and everthing now again loss which i try final time but how i can pay my all bills and ans to bank
","Feb 05, 2018 10:16AM ET"
12727,"dow30 eat complete account.i lost my everying and i lost my life
","Feb 05, 2018 10:15AM ET"
12728,"I was waiting for this... you could see the writing on the wall but peeps ignored... it's still way to high to buy. Better deals coming ahead buy end of Feb
","Feb 05, 2018 9:47AM ET"
12729,"Hopefully 800++
","Feb 05, 2018 9:47AM ET"
12730,"Likely close another 500 points down today...
","Feb 05, 2018 9:45AM ET"
12731,"Huge selloff
","Feb 05, 2018 9:45AM ET"
12732,"Wait wait till 23.5 K then buy like crazy...
","Feb 05, 2018 9:43AM ET"
12733,"Nice buyback power
","Feb 05, 2018 9:37AM ET"
12734,"Dow Intraday Buy above 25321, Sell below 25171. Target 70 points
","Feb 05, 2018 9:37AM ET"
12735,"This very moment, I will record every trade, and upload the video to social media. It is gonna be good. :)
","Feb 05, 2018 7:49AM ET"
12736,"Everything is down premarket. *****is with the sell off??
","Feb 05, 2018 7:34AM ET"
12737,"Dow futures hit its SMA50 on daily chart , which is working as a support. If it does not hold, can fall much more down. But most probability is for a retracement to its standard line ( Ishimoku) 25750, or even to its SMA20 in 259xx area.... before the next...Show more
","Feb 05, 2018 6:48AM ET"
12738,"Believe it or not. We are going to see Dow in 15.000 during the Trump period.
","Feb 05, 2018 5:16AM ET"
12739,"Is anyone trading here today?
","Feb 05, 2018 5:14AM ET"
12740,"Buy dip buy dip make money
","Feb 05, 2018 4:28AM ET"
12741,"Now the 'bears' are in a dilemma - they haven't seen it so good in months and are beginning to wonder, do we get out now or wait? Is this just another one of those 'bear traps' or are we really going down this time? Well, that is the job of the markets, to...Show more
","Feb 05, 2018 3:59AM ET"
12742,"I disagree with DOG, I think they're gonna come out of the gate buying stuff up left and right. Powell doesn't want to start out like this.
","Feb 05, 2018 2:24AM ET"
12743,"Don't forget folks it's the Chinese new year and nobody there works for the entire month. Great timing.
","Feb 05, 2018 12:07AM ET"
12744,"Buy dip do not scare, while you scare you lost money。
","Feb 04, 2018 11:38PM ET"
12745,"Yup DOG says more red spanky time on monday. Good luck all.
","Feb 04, 2018 11:37PM ET"
12746,"I get a kick outta this room... some people figure the Dow will just keep rising forever... well hello? . This is reality setting in , with Mr T's economics coarse 000
","Feb 04, 2018 9:51PM ET"
12747,"DOW @ 25238 what is going on....?
","Feb 04, 2018 7:19PM ET"
12748,"DOG predicting a not so good day tmrw and he barked it pretty early. Give a more accurate update from him later as it's much too early. He has not yet read world financials and we can't find his glasses right now.
","Feb 04, 2018 6:57PM ET"
12749,"Opening gap down. Buy buy 26000. Hello 23.900
","Feb 04, 2018 6:03PM ET"
12750,"Dorget about the market, It’s S U P E R B O W L
","Feb 04, 2018 3:15PM ET"
12751,"665.75 rounded up is 666==&gt;&gt;  the Mark of the Beast... and this is a beast for sure at unrealistic levels... Beware!!!
","Feb 04, 2018 12:26PM ET"
12752,"If market bounce with lower volume.....will crash again
","Feb 04, 2018 9:10AM ET"
12753,"still bullish on the monthly level, but on the weekly level the closing below the low of previous week is a bearish indicator, upward momentum has been subsided. On the daily level a bounce is likely, daily support at 25300, daily resistance at 26100.
","Feb 04, 2018 5:24AM ET"
12754,"24800 or lower by Friday
","Feb 03, 2018 11:20PM ET"
12755,"Rates will continue to go up.  They will have to if the US wants the world to keep financing its out of control debt/borrowing.  China will back off purchases and will push rates up.  Markets down, gold going parabolic.
","Feb 03, 2018 11:16PM ET"
12756,"the market has shown its weakness. the current market has become the top of 26616. the market will move from below 24700 downward speed, market can reach 17000-17500 by the end of 2018.
","Feb 03, 2018 11:06PM ET"
12757,"Bulls get now discount... Let s see they will wait (double down) or take it &amp; eat this cc.1100 pips in 2-3 weeks time :-)..Last year, bulls do not care about rate hikes...
","Feb 03, 2018 7:04PM ET"
12758,"When i see dow chart, it remind me this song.... https://www.youtube.com/watch?v=RLWZwCWDD2k
","Feb 03, 2018 3:35PM ET"
12759,"My analysis for Monday: If open with gap down, chances are it will proceed down. If no gap, chances it will climb to 50% retracement (25,807) and then take a move down again. If gap up, bottom will be around 4H 200 EMA (25,590). Personally, I think it will...Show more
","Feb 03, 2018 1:14PM ET"
12760,"We better hope they get it together or Mexico will have to build a wall to keep Americans out
","Feb 03, 2018 11:53AM ET"
12761,"Ithis market will change come nov 2018 re elections anyways.... so I wouldn't be to concerned
","Feb 03, 2018 10:41AM ET"
12762,"It is simply said that 'steep rise cannot survive'. This is not only in the case of Dow, but in the case of Cryptos and Indian bench mark indexes also.
","Feb 03, 2018 9:53AM ET"
12763,"Statistics again ""This chart shows what tends to happen to markets after a big plunge in the Dow like this""   https://www.cnbc.com/2018/02/02/the-dow-is-plunging-more-than-500-points-what-happens-next.html
","Feb 03, 2018 8:37AM ET"
12764,"on 33.th day of 2018 ,friday 2th day of 2th month , down 666 points.  sign of what?
","Feb 03, 2018 6:27AM ET"
12765,"Was the fall known in advance ? I think it was. A few days ago, there was  big Bond sell, and yield spike but the DOW vaulted higher, to 26250 If I recall. I thought at the time this is highly suspicious, a cynical attempt to lure the ""buy the dippers"" bac...Show more
","Feb 03, 2018 5:02AM ET"
12766,"Ş believe it will go back to 26000 and above next week, The very good earnings from especially Boeing and Jp morgan and the rest should not be forgotten!!! İ m very bullish on US stocks. Apple stocks will also increase above 170 mark next week. My target i...Show more
","Feb 03, 2018 4:53AM ET"
12767,"Mexico will buy the dip! I will make them pay for it!
","Feb 03, 2018 1:27AM ET"
12768,"Friday's free fall seems way too easy, have feeling that they will bump it up Monday and Tuesday - like nothing happened......
","Feb 02, 2018 10:17PM ET"
12769,"Simple free money is coming to an end at the FED.
","Feb 02, 2018 9:28PM ET"
12770,"Also  the USD index is only up 0.63 percent which is a sad showing... should of went higher today after this market selloff
","Feb 02, 2018 7:07PM ET"
12771,"I suspect traders will buy the dips
","Feb 02, 2018 7:03PM ET"
12772,"Sorry rocky... but yet again it is a rocket into the ocean...hahaha
","Feb 02, 2018 7:02PM ET"
12773,"rocket is right...High debt is actually a big contributor to this downfall and the fact interest rates will be forced to rise fast.... Of course we have the political  factor which I would say is at crises levels...NOT what the world likes to see..
","Feb 02, 2018 7:00PM ET"
12774,"What will happen if hedge funds globally sell this ponzi? :-))...
","Feb 02, 2018 7:00PM ET"
12775,"-666=...
","Feb 02, 2018 6:50PM ET"
12776,"Just a little bit statistics :  http://bullmarkets.co/study-what-happens-when-the-stock-market-surges-in-january/
","Feb 02, 2018 6:34PM ET"
12777,"CRASH COMING :-)))))
","Feb 02, 2018 6:18PM ET"
12778,"Trump shorting? :-)...never knows.. GL :-)..
","Feb 02, 2018 6:12PM ET"
12779,"Just a little bump. Keep on target of 30000.
","Feb 02, 2018 6:01PM ET"
12780,"Dow and global market say goodbye to yellen that's all. Retired party with ********wine
","Feb 02, 2018 5:50PM ET"
12781,"Could be some retracement on Monday up to 25750-26000 area to get more sellers with the target 25100..Need to touch SMA200  to renew sale force... today was a free fall at the end of the day
","Feb 02, 2018 5:28PM ET"
12782,"Who knows, Maybe they were all drunk at the fed for Janet's farewell party and they just dropped the ball this week. YA, RIGHT.
","Feb 02, 2018 5:02PM ET"
12783,"BLACK MONDAY.. Down 5000 pips.. Lolz.. Lmao :-)
","Feb 02, 2018 5:02PM ET"
12784,"Good bye Cow...:-))))))
","Feb 02, 2018 4:59PM ET"
12785,"Oh Hillary :-))))...
","Feb 02, 2018 4:54PM ET"
12786,"well , as i mention before 25960 and 25760 are taget for this correction and we have to watch the payroll and see f 25760 can support. it failed today  till 25400 . Be carefull guys there's still 25385 and 25300 .. it might push it up again .. if not.. u h...Show more
","Feb 02, 2018 4:49PM ET"
12787,"Target by summer of 28000 so 2500 points for grab. Only a break below 50MA mildly bearish. Break below 24000 to get ugly. Until then buy the dip.
","Feb 02, 2018 4:17PM ET"
12788,"5-7% correction for sure.Bonds are rising fast and so are mortgage rates.Budget comng again Shutdown possible also raising thedebt cap by feb is a must.3 things to could crash this market.
","Feb 02, 2018 4:14PM ET"
12789,"24000 GL
","Feb 02, 2018 4:10PM ET"
12790,"Heading back to 26000!
","Feb 02, 2018 4:07PM ET"
12791,"more down or buy time?
","Feb 02, 2018 4:06PM ET"
12792,"Wow that was one enjoyable close:)
","Feb 02, 2018 4:05PM ET"
12793,"1100 hundred drop in a wk.This is a Bitcoin chart in the making
","Feb 02, 2018 4:03PM ET"
12794,"What a ride !! 670 points or so, a few commentators on CNBC suggesting Monday will be further down.. after hours, its still moving lower, this is significant.
","Feb 02, 2018 4:03PM ET"
12795,"What a crazy finish
","Feb 02, 2018 3:59PM ET"
12796,"Top three largest point declines ever?  We will see....
","Feb 02, 2018 3:56PM ET"
12797,"The next trading day will drop further, u scared?
","Feb 02, 2018 3:54PM ET"
12798,"Bold will buy this sale and make money! So cheap!
","Feb 02, 2018 3:51PM ET"
12799,"All the top gainers are in the RED.. :)
","Feb 02, 2018 3:48PM ET"
12800,"You still don’t get it, market is going again much higher. Don’t fall for this.
","Feb 02, 2018 3:45PM ET"
12801,"Today's sell off clearly indicates something bad is with the economy. 2 and half percent index falling is a really a concern for investors. As I was saying over and over again don't try to catch a falling knife.
","Feb 02, 2018 3:40PM ET"
12802,"Central banking own the 99% of all stock market, and ready to dump it, but who is going to take the bait? :)
","Feb 02, 2018 3:39PM ET"
12803,"26000 again in no time. Buy and be rich!
","Feb 02, 2018 3:39PM ET"
12804,"Alert! Last ten minutes will be crucial. Markets can sell off huge or can recover a little. No way market will close less than -400
","Feb 02, 2018 3:35PM ET"
12805,"-700 likely at close
","Feb 02, 2018 3:32PM ET"
12806,"25580 is the level to watch. Weekly close below indicate March low
","Feb 02, 2018 3:30PM ET"
12807,"Small correction is healthy for market, 1000 points is nothing, still buy the dip is in play
","Feb 02, 2018 3:30PM ET"
12808,"Trump say 30000, we must follow the trend!!!!!
","Feb 02, 2018 3:29PM ET"
12809,"Black Thursday
","Feb 02, 2018 3:28PM ET"
12810,"Time to short DJIA and central bank to absolute zero
","Feb 02, 2018 3:25PM ET"
12811,"If every day drop 500 pips = 50 days and zero... Then no trading :-(..
","Feb 02, 2018 3:22PM ET"
12812,"peak detected
","Feb 02, 2018 3:16PM ET"
12813,"Buy dip now you carl ichan( the trump ********)
","Feb 02, 2018 3:15PM ET"
12814,"bubble pop
","Feb 02, 2018 3:14PM ET"
12815,"No panic pls
","Feb 02, 2018 3:14PM ET"
12816,"It applies to stocks not idexs .Usually 10% would stop major blue chips and usually they only stop the trading for half hr..This crash has to do with Trump and memo
","Feb 02, 2018 3:13PM ET"
12817,"I said this before: Dow is a war between greed and fear. Greed goes gradually however no one can control the fear
","Feb 02, 2018 3:12PM ET"
12818,"Computer Stop Loss for the Dow should of gone into effect ages ago...but they likely got rid of that also. So panic continues
","Feb 02, 2018 3:08PM ET"
12819,"Man Kr.. answer to this big crash? You are a con man
","Feb 02, 2018 3:05PM ET"
12820,"Man Kr What do you say now. Fooling everyone with your bullish comments. All was just ***** This is crashing big time
","Feb 02, 2018 3:04PM ET"
12821,"This is nothing. I hope all you greedy fuxx lose your shirt
","Feb 02, 2018 3:04PM ET"
12822,"this is getting a little messy...
","Feb 02, 2018 3:00PM ET"
12823,"According to history market should drop to 21 K
","Feb 02, 2018 2:59PM ET"
12824,"Americans and rest of the world have been dubbed...sad but I seen this coming
","Feb 02, 2018 2:58PM ET"
12825,"There doesn't seem to be any buyers. It looks only sellers market today. After a long time we saw some sell off. it is actually good to start fresh. But one shouldn't buy on intraday as there seems to be heavy selling going on guys. Stays calm. Wait for yo...Show more
","Feb 02, 2018 2:57PM ET"
12826,"On top off it.., all regulations are out the window to stop this from falling further... geeez thanks Mr T
","Feb 02, 2018 2:57PM ET"
12827,"bold bath!!
","Feb 02, 2018 2:55PM ET"
12828,"A 10 percent correction from 26,000 is pretty high.... down another 2600 points... . the higher you go up the farther yah fall will either hurt or will do yah in...
","Feb 02, 2018 2:52PM ET"
12829,"Mr T's banana republic is starting to take affect
","Feb 02, 2018 2:48PM ET"
12830,"This was expected  and I bet a lot of people ignored warnings!!!
","Feb 02, 2018 2:47PM ET"
12831,"Cut Loss!!! Market is Crashing!!!
","Feb 02, 2018 2:47PM ET"
12832,"One moth gain lost in just 5 day..!!! Not good sign.
","Feb 02, 2018 2:46PM ET"
12833,"Buy is not advisable unless its not made higher low higher high then previous day.
","Feb 02, 2018 2:43PM ET"
12834,"what to do now. I have few position  from peak point..what to do now? as margin level drop and drop and add money more and more but now no money in credit card. what to do now
","Feb 02, 2018 2:42PM ET"
12835,"I see 24k
","Feb 02, 2018 2:33PM ET"
12836,"2018 trump crash?
","Feb 02, 2018 2:32PM ET"
12837,"this pullback looks quite different than others. take profit of my big short position  keep open small position short target 22k.
","Feb 02, 2018 2:26PM ET"
12838,"This is special lubricant made by Trum magic factory.
","Feb 02, 2018 2:19PM ET"
12839,"BUY This dip!!!
","Feb 02, 2018 2:11PM ET"
12840,"Bottom closed expected.
","Feb 02, 2018 2:10PM ET"
12841,"Bulls and Bears both become baggers if not follow short term trend.
","Feb 02, 2018 2:05PM ET"
12842,"overdue correction, should be at least 10%
","Feb 02, 2018 1:57PM ET"
12843,"Big R1 at 26450 and small S1 at 25590
","Feb 02, 2018 1:53PM ET"
12844,"Love it bc now there going to have to constantly beat up on bitcoin (they are) and other cryptos which gives them more to have to worry about and manipulate. The minute they ignore those cryptos , they will spike back up. Unless they totally make them ille...Show more
","Feb 02, 2018 1:37PM ET"
12845,"if it happens the weekly support at 25600 will be broken, the next support level at 25300 will be tested (or broken). A test implies a bounce. Otherwise it will further go down, be careful : it can go a lot deeper before getting an ideal entry point to buy
","Feb 02, 2018 1:02PM ET"
12846,"when reversal take place..what happen to dow30. please guide me.
","Feb 02, 2018 12:59PM ET"
12847,"Weekly chart is engulfing pattern Start to downtrand today
","Feb 02, 2018 12:59PM ET"
12848,"Why chevron and Exxon panic sell ?
","Feb 02, 2018 12:57PM ET"
12849,"Maybe it's because of the memo release
","Feb 02, 2018 12:56PM ET"
12850,"Also bitcoin futures soon to be no more and worthless
","Feb 02, 2018 12:43PM ET"
12851,"Jobs report super strong BUT a big sign , that inflation will rise it's ugly head
","Feb 02, 2018 12:42PM ET"
12852,"Now the US index will drop...until interest rates rise 0.5 percent
","Feb 02, 2018 12:40PM ET"
12853,"...Tree...
","Feb 02, 2018 12:38PM ET"
12854,"As predicted the FED is asleep at the wheel and is heading toward the ditch with crash that will hit a teee
","Feb 02, 2018 12:36PM ET"
12855,"Dow is selling on fear of increased inflation and rates are going to go up faster, higher and sooner than expected...
","Feb 02, 2018 12:35PM ET"
12856,"Correction over. Biy the dip
","Feb 02, 2018 12:29PM ET"
12857,"dow normally takes support at 25 ema line of daily chart since it last run recently..just now it touched 25 ema at 25765..just sharing..not a trade advice...best of luck....
","Feb 02, 2018 12:24PM ET"
12858,"Is it possible that the new FED will let the free market function or will they buying things up again. Maybe the just want their money now before it's too late
","Feb 02, 2018 12:18PM ET"
12859,"DownTrend started.
","Feb 02, 2018 12:17PM ET"
12860,"Sell all prices Dow will follow btc
","Feb 02, 2018 12:00PM ET"
12861,"We should all be grateful that we will see a much needed a long over due correction. Let's hope they don't lose control and we see a collapse
","Feb 02, 2018 11:53AM ET"
12862,"Everybody do not be afraid, buy any dip you will make good money in the feature, market will give you much credit, believe Trump great again.
","Feb 02, 2018 11:51AM ET"
12863,"Sell for a Target 25700
","Feb 02, 2018 11:14AM ET"
12864,"This will turn around
","Feb 02, 2018 10:39AM ET"
12865,"Black Friday ...,sell now
","Feb 02, 2018 10:25AM ET"
12866,"bears are hungry today
","Feb 02, 2018 9:55AM ET"
12867,"Dow Intra-day Buy only above 26094. Target 30 points
","Feb 02, 2018 9:50AM ET"
12868,"Stock will panic sell to 20000
","Feb 02, 2018 9:32AM ET"
12869,"Ouch, !! Bitcoin close to a 7 handle,, thats a bad fall from 20k.
","Feb 02, 2018 6:07AM ET"
12870,"Most major indices taking a small hammering at the moment, excessive and unwarranted exhuberance plus the ignoring of multiple red flags have come into play. . But we should not under estimate the criminals who will certainly weave the fakery, this whole p...Show more
","Feb 02, 2018 4:41AM ET"
12871,"Where is all the Dreamers of 30.000
","Feb 02, 2018 4:08AM ET"
12872,"Buy dip Trump will be help everyone to make more money
","Feb 02, 2018 4:05AM ET"
12873,"Apply turtle trading rules here.. buy or sell only on 55 days breakout.
","Feb 02, 2018 1:22AM ET"
12874,"I don't know which of the two has more influence over the dow jones. 10-year bond rate 2.79%, it looks we'll reach 3% within 2 weeks or still, buy the dip as vix is decreasing?
","Feb 02, 2018 12:15AM ET"
12875,"Waiting for 25900
","Feb 01, 2018 7:00PM ET"
12876,"apple flaying in aftermarket, will dow go with it?
","Feb 01, 2018 6:25PM ET"
12877,"pet the dog
","Feb 01, 2018 4:01PM ET"
12878,"Look like 26.000 in range before end of day.. Let l see..
","Feb 01, 2018 3:41PM ET"
12879,"Now only thing we need is a stronger dollar and the crash is real
","Feb 01, 2018 3:39PM ET"
12880,"Gotta love that 30yr T-bond. LOL!
","Feb 01, 2018 3:38PM ET"
12881,"dow -0.20 dollar -0.55: -0.75
","Feb 01, 2018 3:35PM ET"
12882,"Buy dip gang will be out.
","Feb 01, 2018 3:32PM ET"
12883,"MUTUALS DUMPING NOW.   BOOM!
","Feb 01, 2018 3:28PM ET"
12884,"hedge funds dumping now before the big drop.BOOM!!
","Feb 01, 2018 3:27PM ET"
12885,"Keep calm and enjoy the rally
","Feb 01, 2018 3:27PM ET"
12886,"4x rate hike  = 30% sell off.Massive drop could come.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1
","Feb 01, 2018 3:25PM ET"
12887,"$ 50% down and dow 20% up = loss
","Feb 01, 2018 3:03PM ET"
12888,"bear market tomorrow and next week if not, fake
","Feb 01, 2018 2:35PM ET"
12889,"And magic hand of Mr.Poewel lifted Dow up..
","Feb 01, 2018 2:30PM ET"
12890,"Look at DAX
","Feb 01, 2018 2:27PM ET"
12891,"Apple earning report cause nervous feeling in market price.. Dow = Apple
","Feb 01, 2018 2:24PM ET"
12892,"Dow and S&amp;P down channel...before Crash... 25% at least..
","Feb 01, 2018 2:21PM ET"
12893,"...and bond yields are coming closer and closer to the magic number 3%-  now 2,775, rise 2% since yesterday.....
","Feb 01, 2018 2:20PM ET"
12894,"Its just a small correction before BIG Crash... He he he
","Feb 01, 2018 2:19PM ET"
12895,"DOW will follow bit coin soon Buy gold as safe heaven
","Feb 01, 2018 2:19PM ET"
12896,"can only imagine what would happen if they didn't get the tax CUT
","Feb 01, 2018 2:18PM ET"
12897,"Wow it is like storm in the ocean... I feel dizy..
","Feb 01, 2018 2:16PM ET"
12898,"No buyer now Price can’t move up for a week The end of up trend for 1 year rally
","Feb 01, 2018 2:16PM ET"
12899,"Its just a correction.. Just small correction..
","Feb 01, 2018 2:14PM ET"
12900,"Stock market is game over Did you observe price action? Buy gold only as safe heaven
","Feb 01, 2018 2:14PM ET"
12901,"Buyers always win at the end. .
","Feb 01, 2018 2:13PM ET"
12902,"Buyers will be back..
","Feb 01, 2018 2:11PM ET"
